"qa_pair_id","question","correct_answer","model_output","exact_match","conflict_type","new_fact_seq","new_fact_text","new_fact_retrieved","new_fact_rank","new_fact_ppr","old_fact_seq","old_fact_text","old_answer","old_fact_retrieved","old_fact_rank","old_fact_ppr","update_gap","ppr_favors","fail_reason","p1_summary","p2_summary","p3_summary","p4_summary","p5_summary","p6_summary","p7_summary","p8_summary","p9_summary","p10_summary"
"factconsolidation_sh_6k_no24","Which city did Gennady Rozhdestvensky die in?","United States of America","Moscow","False","has_pair","451","Gennady Rozhdestvensky died in the city of United States of America.","True","2","0.046886","292","Gennady Rozhdestvensky died in the city of Moscow.","Moscow","True","1","0.055101","159","old_higher_ppr","older_fact","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","Mario Puzo is famous for The Godfather. 113. London is located in the continent of Europe. 114. The headquarters of University of California, Berkeley is located in the city of Botevgrad. 115. The nam...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou..."
"factconsolidation_sh_6k_no25","What is the capital of Tang Empire?","Beaumont","Beaumont.","True","has_pair","177","The capital of Tang Empire is Beaumont.","True","3","0.012334","21","The capital of Tang Empire is Chang'an.","Chang'an","True","1","0.095084","156","old_higher_ppr","","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci..."
"factconsolidation_sh_6k_no26","Who is the director of British Broadcasting Corporation?","Narendra Modi","Narendra Modi","True","has_pair","428","The director of British Broadcasting Corporation is Narendra Modi.","True","2","0.036124","7","The director of British Broadcasting Corporation is Tony Hall, Baron Hall of Birkenhead.","Tony Hall, Baron Hall of Birkenhead","True","1","0.08874","421","old_higher_ppr","","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 7[OLD]7. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associ...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","26[OLD]7. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in t...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","Mario Puzo is famous for The Godfather. 113. London is located in the continent of Europe. 114. The headquarters of University of California, Berkeley is located in the city of Botevgrad. 115. The nam..."
"factconsolidation_sh_6k_no27","What is the country of citizenship of Benjamin Mazar?","Israel","Israel","True","no_conflict_pair","313","Benjamin Mazar is a citizen of Israel.","True","1","0.085005","","","David Ben-Gurion","False","","","","no_pair","","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","Mario Puzo is famous for The Godfather. 113. London is located in the continent of Europe. 114. The headquarters of University of California, Berkeley is located in the city of Botevgrad. 115. The nam...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ..."
"factconsolidation_sh_6k_no28","What type of music does Michael Mantler play?","post-punk","jazz.","False","has_pair","298","The type of music that Michael Mantler plays is post-punk.","True","1","0.067394","289","The type of music that Michael Mantler plays is jazz.","jazz","True","1","0.067394","9","same_passage","older_fact","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ..."
"factconsolidation_sh_6k_no29","Which city did Oscar Wilde die in?","Guangzhou","Guangzhou.","True","has_pair","270","Oscar Wilde died in the city of Guangzhou.","True","2","0.047835","128","Oscar Wilde died in the city of Paris.","Paris","True","1","0.048288","142","old_higher_ppr","","Mario Puzo is famous for The Godfather. 113. London is located in the continent of Europe. 114. The headquarters of University of California, Berkeley is located in the city of Botevgrad. 115. The nam...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. [NEW]270. Oscar Wilde died in t...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ..."
"factconsolidation_sh_6k_no30","Which country was baseball created in?","Japan","Japan.","True","has_pair","382","baseball was created in the country of Japan.","True","2","0.042161","160","baseball was created in the country of United States of America.","United States of America","True","1","0.047875","222","old_higher_ppr","","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. [NEW]382. baseball was created in the country of Japan. 383. The official...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f..."
"factconsolidation_sh_6k_no31","What is the country of citizenship of Ernst Heinkel?","Tang Empire","Tang Empire.","True","has_pair","203","Ernst Heinkel is a citizen of Tang Empire.","True","1","0.055846","192","Ernst Heinkel is a citizen of Germany.","Germany","True","1","0.055846","11","same_passage","","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. [OLD]192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church wa...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ..."
"factconsolidation_sh_6k_no32","Which city is the headquarter of The University of the Arts located in?","Philadelphia","Philadelphia","True","no_conflict_pair","387","The headquarters of The University of the Arts is located in the city of Philadelphia.","True","1","0.067566","","","","False","","","","no_pair","","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","Mario Puzo is famous for The Godfather. 113. London is located in the continent of Europe. 114. The headquarters of University of California, Berkeley is located in the city of Botevgrad. 115. The nam...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci..."
"factconsolidation_sh_6k_no33","Which country was rap rock created in?","Russian Empire","United States of America.","False","has_pair","403","rap rock was created in the country of Russian Empire.","True","1","0.051024","359","rap rock was created in the country of United States of America.","United States of America","True","2","0.043186","44","new_higher_ppr","older_fact","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f..."
"factconsolidation_sh_6k_no34","Where was Christianity founded?","Taipei","Taipei.","True","has_pair","43","Christianity was founded in the city of Taipei.","True","1","0.053554","40","Christianity was founded in the city of Jerusalem.","Jerusalem","True","1","0.053554","3","same_passage","","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. [OLD]40. Christianity was founded in the city of Jerusalem. 41. German...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","Thomas Arne was born in the city of London. 3[NEW]43. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the co...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420...."
"factconsolidation_sh_6k_no35","What is the official language of United States of America?","German","German","True","has_pair","295","The official language of United States of America is German.","True","5","0.01524","242","The official language of United States of America is American English.","American English","True","1","0.044602","53","old_higher_ppr","","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Mario Puzo is famous for The Godfather. 113. London is located in the continent of Europe. 114. The headquarters of University of California, Berkeley is located in the city of Botevgrad. 115. The nam...","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country..."
"factconsolidation_sh_6k_no36","Who performed Past Masters?","Madonna","The Beatles","False","has_pair","364","Past Masters was performed by Madonna.","True","1","0.055901","251","Past Masters was performed by The Beatles.","The Beatles","True","2","0.045904","113","new_higher_ppr","older_fact","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","The author of The Witcher is T. S. Eliot. 306. Thomas Kyd was born in the city of Leeds. 307. Jesus Christ worked in the city of Galilee. 308. John Harkes is associated with the sport of association f...","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ..."
"factconsolidation_sh_6k_no37","What is the capital of Japan?","Tokyo","Tokyo","True","no_conflict_pair","103","The capital of Japan is Tokyo.","True","1","0.057993","","","","False","","","","no_pair","","Australia is located in the continent of Oceania. 76. The author of The Birth of Tragedy is Friedrich Nietzsche. 77. The author of The Birth of Tragedy is Stephen Crane. 78. placekicker is associated ...","Rocket Man was performed by Ayumi Hamasaki. 230. Ford Motor Company was founded by Henri Grégoire. 231. Walter Chrysler's child is Charles Frederick, Duke of Holstein-Gottorp. 232. The chairperson of ...","189. Hugh Hefner is famous for The Vampyre. 190. The capital of Czech Republic is Prague. 191. Aristotle's child is Nicomachus. 192. Ernst Heinkel is a citizen of Germany. 193. Catholic Church was fou...","Steve Sax is associated with the sport of association football. 418. Tunisia national football team is associated with the sport of basketball. 419. Blair Walsh plays the position of placekicker. 420....","267. post-punk was created in the country of Canada. 268. Ellen Pompeo is a citizen of United States of America. 269. Daniele De Rossi plays the position of midfielder. 270. Oscar Wilde died in the ci...","FC Irtysh Omsk is associated with the sport of association football. 150. cricket was created in the country of Australia. 151. The official language of Australia is Arabic. 152. Stephen McNeil works ...","The headquarters of Berklee College of Music is located in the city of Boston. 381. Elton John is a citizen of United Kingdom. 382. baseball was created in the country of Japan. 383. The official lang...","Here is a list of facts: 0. Thomas Kyd was born in the city of London. 1. The chairperson of Fatah is Mahmoud Abbas. 2. Amy Winehouse died in the city of Camden Town. 3. Hines Ward plays the position ...","Frank Zappa died in the city of Los Angeles. 38. Dave Filoni is employed by Lucasfilm. 39. Henri Grégoire is a citizen of France. 40. Christianity was founded in the city of Jerusalem. 41. Germany is ...","Thomas Arne was born in the city of London. 343. Charles Messier is a citizen of Iran. 344. The author of Starship Troopers is Daphne du Maurier. 345. Thus Spoke Zarathustra was created in the country..."
